,frequency,index,word
0,-9.293761980115255,0,<start>
1,0.0,1,is
2,-0.11491227523044323,2,","
3,-0.5188305926203087,3,her
4,-1.2166253415768011,4,his
5,-1.2513839749419753,5,brow
6,-1.314423084852928,6,.
7,-1.314423084852928,7,'s
8,-1.314423084852928,8,a
9,-1.3422026489600034,9,and
10,-1.4968816373317324,10,lifted
11,-1.4993507743886538,11,raised
12,-1.535855771763508,12,lip
13,-1.7079731583832207,13,woman
14,-1.8321215879066801,14,are
15,-1.9035805518888256,15,lips
16,-1.960738965728774,16,lid
17,-2.10761767559293,17,slightly
18,-2.169283717621831,18,reasonably
19,-2.1773678360217903,19,positively
20,-2.182249863619098,20,sensibly
21,-2.219645163917893,21,fairly
22,-2.229002952323453,22,cheek
23,-2.244507138859418,23,kind
24,-2.244507138859418,24,of
25,-2.246244758757959,25,inner
26,-2.248856862985884,26,quite
27,-2.3662040738369385,27,corner
28,-2.3860067011331183,28,chin
29,-2.3930313160700822,29,somewhat
30,-2.4164659086178264,30,upper
31,-2.4372999955206684,31,man
32,-2.5025405173890696,32,lightly
33,-2.5138400726430032,33,outer
34,-2.5615512736480492,34,parted
35,-2.6268051876860485,35,stretched
36,-2.633186830275569,36,separated
37,-2.6486710106096107,37,down
38,-2.8322938037615377,38,mouth
39,-2.9393919393179044,39,narrowed
40,-2.9622601302215643,40,tightened
41,-3.0021928405569347,41,nose
42,-3.0040464092062575,42,significantly
43,-3.015240555949411,43,lowered
44,-3.0437867378557724,44,highly
45,-3.073171810015516,45,strongly
46,-3.232305061187238,46,spread
47,-3.327615240991563,47,pushed
48,-3.356225775032829,48,pulled
49,-3.461879502831738,49,insignificantly
50,-3.509936797785518,50,marginally
51,-3.544368994207002,51,very
52,-3.589979505459054,52,dimpling
53,-3.6238810571347355,53,nostril
54,-3.6518549091771413,54,creased
55,-3.7408023951936378,55,wrinkled
56,-3.9466544493977866,56,jaw
57,-3.98549428271405,57,pressed
58,-4.00549494942072,58,depressed
59,-4.50627023733321,59,eyes
60,-4.5230773556495905,60,inflated
61,-4.668789166830985,61,dilated
62,-4.688591794127163,62,lower
63,-4.771973403066214,63,dropped
64,-4.816425165637048,64,fallen
65,-5.381738974687108,65,blinking
66,-5.797254418648775,66,pursy
67,-5.961557469940052,67,compressed
68,-5.997925114110927,68,puckered
69,-6.298029706561264,69,deepened
70,-6.298029706561264,70,nasolabial
71,-6.585711779013046,71,puffed
72,-6.808855330327255,72,shut
73,-6.99117688712121,73,right
74,-6.99117688712121,74,gritted
75,-6.99117688712121,75,sideways
76,-6.99117688712121,76,head
77,-6.99117688712121,77,neck
78,-6.99117688712121,78,up
79,-6.99117688712121,79,clenched
80,-7.21432043843542,80,closed
81,-7.5020025108872,81,sucked
82,-7.684324067681155,82,blown
83,-7.684324067681155,83,turned
84,-7.684324067681155,84,constricted
85,-7.684324067681155,85,moving
