,frequency,index,word
0,-9.284519770150435,0,<start>
1,0.0,1,is
2,-0.1150013926945066,2,","
3,-0.5142359510520351,3,her
4,-1.2261924635694768,4,his
5,-1.2550869295691918,5,brow
6,-1.3051808748881069,6,.
7,-1.3051808748881069,7,'s
8,-1.3051808748881069,8,a
9,-1.3259428663365362,9,and
10,-1.483537698892694,10,lifted
11,-1.4938237389756965,11,raised
12,-1.530896223590688,12,lip
13,-1.6936676464618534,13,woman
14,-1.8171487032328746,14,are
15,-1.8881844763496263,15,lips
16,-1.971299383060133,16,lid
17,-2.1306859685715915,17,reasonably
18,-2.1456527702049106,18,sensibly
19,-2.17709429603973,19,positively
20,-2.1787336406691633,20,slightly
21,-2.184492603521175,21,fairly
22,-2.1911151442816683,22,kind
23,-2.1911151442816683,23,of
24,-2.202811184044859,24,cheek
25,-2.224902141859051,25,quite
26,-2.245736228761893,26,inner
27,-2.337543778015016,27,corner
28,-2.366814160315129,28,chin
29,-2.428057785555848,29,upper
30,-2.4375766305650552,30,lightly
31,-2.4386398948863848,31,man
32,-2.48881399497692,32,somewhat
33,-2.516026558501805,33,outer
34,-2.5667150751267434,34,parted
35,-2.5813316569095717,35,stretched
36,-2.596165056203673,36,separated
37,-2.681931877961098,37,down
38,-2.807547407260752,38,mouth
39,-2.9619545302231503,39,narrowed
40,-2.965551656404,40,tightened
41,-2.992950630592114,41,lowered
42,-3.011642763604267,42,nose
43,-3.0759297440538056,43,significantly
44,-3.088075642355914,44,highly
45,-3.1065756560998343,45,strongly
46,-3.1819611755368653,46,spread
47,-3.3338772175627076,47,pulled
48,-3.35493062676054,48,pushed
49,-3.5383165796102816,49,insignificantly
50,-3.5383165796102816,50,marginally
51,-3.5674920687442127,51,very
52,-3.6497301669811852,52,nostril
53,-3.6497301669811852,53,dimpling
54,-3.653307988329069,54,creased
55,-3.759066831018651,55,wrinkled
56,-3.9713137911086474,56,depressed
57,-4.086022738884608,57,pressed
58,-4.091562919260224,58,jaw
59,-4.497028027368389,59,eyes
60,-4.584039404358018,60,lower
61,-4.630559419992911,61,inflated
62,-4.630559419992911,62,dilated
63,-4.795883400418295,63,dropped
64,-5.021839893109119,64,fallen
65,-5.372496764722288,65,blinking
66,-5.758159245534273,66,compressed
67,-6.0656439452822335,67,pursy
68,-6.0656439452822335,68,puckered
69,-6.511931047910653,69,blown
70,-6.645462440535176,70,puffed
71,-6.719570412688898,71,gritted
72,-6.799613120362435,72,closed
73,-6.9819346771563895,73,right
74,-6.9819346771563895,74,deepened
75,-6.9819346771563895,75,head
76,-6.9819346771563895,76,neck
77,-6.9819346771563895,77,nasolabial
78,-7.0872951928142145,78,up
79,-7.205078228470598,79,shut
80,-7.338609621095121,80,clenched
81,-7.675081857716335,81,moving
82,-7.675081857716335,82,turned
83,-7.898225409030544,83,constricted
84,-7.898225409030544,84,sucked
