,frequency,index,word
0,-9.312896960301273,0,<start>
1,0.0,1,is
2,-0.11767022613514033,2,","
3,-0.4750705962935706,3,her
4,-1.2482604845270524,4,brow
5,-1.3132183808018247,5,.
6,-1.3132183808018247,6,'s
7,-1.3132183808018247,7,a
8,-1.3199524129831688,8,his
9,-1.3369886001357365,9,and
10,-1.4804860331133547,10,lifted
11,-1.5045739099102189,11,raised
12,-1.55072635316307,12,lip
13,-1.6584537338311627,13,woman
14,-1.8455258933837153,14,are
15,-1.9104454394830306,15,lips
16,-1.9414076650869978,16,lid
17,-2.132065761256719,17,slightly
18,-2.1512749573620873,18,reasonably
19,-2.1637653617438684,19,positively
20,-2.2161755818065147,20,sensibly
21,-2.2228201245251835,21,cheek
22,-2.2362431448573235,22,quite
23,-2.248137932509473,23,inner
24,-2.2489929988292063,24,kind
25,-2.2489929988292063,25,of
26,-2.2507053280147185,26,fairly
27,-2.365920968165857,27,chin
28,-2.3942017412808037,28,somewhat
29,-2.3951913504659696,29,upper
30,-2.4151920171726395,30,corner
31,-2.449093568848321,31,lightly
32,-2.5216754975750897,32,outer
33,-2.5444037486526456,33,man
34,-2.6023738508488465,34,parted
35,-2.6048128764482055,35,separated
36,-2.612165850753464,36,stretched
37,-2.680895182905645,37,down
38,-2.8359245974115916,38,mouth
39,-2.904368169241777,39,tightened
40,-2.92601764093863,40,lowered
41,-2.9655077506452647,41,narrowed
42,-2.9849601765720797,42,nose
43,-3.0250384001394908,43,strongly
44,-3.0494986977096508,44,significantly
45,-3.0648540857928452,45,highly
46,-3.1816704708181343,46,spread
47,-3.339087348432013,47,pushed
48,-3.4492657847031776,48,very
49,-3.5229367894040218,49,pulled
50,-3.5321534445089453,50,insignificantly
51,-3.5321534445089453,51,marginally
52,-3.576324662822083,52,dimpling
53,-3.6430160373207547,53,wrinkled
54,-3.678107357132025,54,nostril
55,-3.7144750013029,55,creased
56,-4.014579593753238,56,pressed
57,-4.029693231563287,57,depressed
58,-4.065872888140789,58,jaw
59,-4.5254052175192285,59,lower
60,-4.585509141588934,60,inflated
61,-4.612416594508859,61,eyes
62,-4.780297467148019,62,fallen
63,-4.846988841646691,63,dilated
64,-4.969091538447591,64,dropped
65,-5.6240175061873385,65,blinking
66,-5.70197904765705,66,compressed
67,-5.757548898811861,67,pursy
68,-6.094021135433073,68,puckered
69,-6.317164686747284,69,deepened
70,-6.317164686747284,70,nasolabial
71,-6.422525202405111,71,puffed
72,-6.827990310513274,72,blown
73,-7.010311867307229,73,right
74,-7.010311867307229,74,closed
75,-7.010311867307229,75,sideways
76,-7.010311867307229,76,shut
77,-7.010311867307229,77,head
78,-7.010311867307229,78,neck
79,-7.233455418621438,79,up
80,-7.52113749107322,80,turned
81,-7.52113749107322,81,gritted
82,-7.703459047867175,82,constricted
83,-7.9266025991813835,83,moving
84,-7.9266025991813835,84,clenched
