,frequency,index,word
0,-9.302919553269275,0,<start>
1,0.0,1,is
2,-0.11687187386213793,2,","
3,-0.5111295289499127,3,her
4,-1.2382830774950535,4,his
5,-1.2382830774950535,5,brow
6,-1.3235806580069482,6,.
7,-1.3235806580069482,7,'s
8,-1.3235806580069482,8,a
9,-1.3513602221140242,9,and
10,-1.4893280003168425,10,lifted
11,-1.498260256213174,11,raised
12,-1.55359708860892,12,lip
13,-1.7020170937271937,13,woman
14,-1.8586709037725702,14,are
15,-1.9314302580549985,15,lips
16,-1.9633818578616014,16,lid
17,-2.1648465192249287,17,sensibly
18,-2.1648465192249287,18,slightly
19,-2.1930400901970044,19,positively
20,-2.198775460281749,20,reasonably
21,-2.1995974907431632,21,quite
22,-2.2228930533466853,22,kind
23,-2.2228930533466853,23,of
24,-2.2381605254774737,24,inner
25,-2.2467442691688655,25,cheek
26,-2.2501985040369528,26,fairly
27,-2.336895366163163,27,chin
28,-2.365605472045594,28,corner
29,-2.3941647739540555,29,somewhat
30,-2.4072368555214076,30,lightly
31,-2.425623481771847,31,upper
32,-2.4785458832261895,32,man
33,-2.522997645797024,33,outer
34,-2.615810945402761,34,separated
35,-2.62835816145485,35,stretched
36,-2.6334214634113966,36,parted
37,-2.6346913048518728,37,down
38,-2.8571997338836974,38,mouth
39,-2.9364491055378377,39,narrowed
40,-2.964325475066093,40,lowered
41,-3.0113504137109555,41,nose
42,-3.0132039823602783,42,tightened
43,-3.0626437080985065,43,significantly
44,-3.094329527172647,44,strongly
45,-3.108514162164604,45,highly
46,-3.2048452711030357,46,spread
47,-3.33934020965083,47,pushed
48,-3.4195971647809973,48,pulled
49,-3.479873657786257,49,very
50,-3.50382689880875,50,marginally
51,-3.5599163654597934,51,insignificantly
52,-3.599137078613075,52,nostril
53,-3.6330386302887563,53,dimpling
54,-3.700800732389575,54,creased
55,-3.708208173667437,55,wrinkled
56,-3.8348594121341444,56,depressed
57,-4.00460218672124,57,jaw
58,-4.143864254054747,58,pressed
59,-4.51542781048723,59,eyes
60,-4.54074561847152,60,inflated
61,-4.66819056503964,61,dilated
62,-4.697749367281184,62,lower
63,-4.814283183537136,63,fallen
64,-4.908470398596837,64,dropped
65,-5.3908965478411295,65,blinking
66,-5.496257063498956,66,compressed
67,-6.211877099910961,67,puckered
68,-6.307187279715285,68,deepened
69,-6.307187279715285,69,nasolabial
70,-6.412547795373111,70,pursy
71,-6.594869352167066,71,blown
72,-6.594869352167066,72,puffed
73,-6.663862223654018,73,gritted
74,-6.663862223654018,74,up
75,-6.905024280470906,75,closed
76,-7.00033446027523,76,right
77,-7.00033446027523,77,sideways
78,-7.00033446027523,78,head
79,-7.00033446027523,79,neck
80,-7.105694975933057,80,shut
81,-7.5111600840412205,81,clenched
82,-7.693481640835175,82,turned
83,-7.693481640835175,83,moving
84,-7.916625192149386,84,constricted
85,-7.916625192149386,85,sucked
