,frequency,index,word
0,-9.309280319831087,0,<start>
1,0.0,1,is
2,-0.11506932978478712,2,","
3,-0.5084130773606068,3,her
4,-1.2383742310432684,4,his
5,-1.2509530132501285,5,brow
6,-1.3163357725129803,6,.
7,-1.3163357725129803,7,'s
8,-1.3163357725129803,8,a
9,-1.3368143038565212,9,and
10,-1.4912523813003573,10,raised
11,-1.4969021138424763,11,lifted
12,-1.5599578551707305,12,lip
13,-1.6984275294358357,13,woman
14,-1.836211231798889,14,are
15,-1.8887014144202858,15,lips
16,-1.9568392195875033,16,lid
17,-2.1246511671137718,17,slightly
18,-2.1360885773444878,18,positively
19,-2.1704133198855624,19,reasonably
20,-2.181586620483688,20,sensibly
21,-2.2225423853205095,21,kind
22,-2.2225423853205095,22,of
23,-2.2267317504757864,23,quite
24,-2.236010602371376,24,inner
25,-2.236010602371376,25,cheek
26,-2.267868656036276,26,fairly
27,-2.3432561327249735,27,chin
28,-2.4015250408489495,28,corner
29,-2.427869016188551,29,lightly
30,-2.4528183352364996,30,upper
31,-2.458095392337343,31,somewhat
32,-2.4634004445670366,32,man
33,-2.5180588571049007,33,outer
34,-2.572313361829231,34,parted
35,-2.5735003055887598,35,stretched
36,-2.591475624807395,36,separated
37,-2.7189792716344003,37,down
38,-2.7871875216609343,38,mouth
39,-2.889285391683944,39,narrowed
40,-2.96364395900249,40,nose
41,-2.9689210161033346,41,lowered
42,-2.990312206084652,42,highly
43,-3.001181878321556,43,tightened
44,-3.0251461587602844,44,significantly
45,-3.116917830356214,45,strongly
46,-3.2202354443842403,46,spread
47,-3.363859711224511,47,pushed
48,-3.4121264521943457,48,pulled
49,-3.428747333430386,49,very
50,-3.553538106244174,50,insignificantly
51,-3.618920865507026,51,marginally
52,-3.649798104071465,52,creased
53,-3.6638334221878486,53,wrinkled
54,-3.674490716661837,54,nostril
55,-3.674490716661837,55,dimpling
56,-3.986270340692678,56,depressed
57,-4.01096295328305,57,jaw
58,-4.046590130926201,58,pressed
59,-4.5217885770490405,59,lower
60,-4.6364514853691805,60,inflated
61,-4.67455133160145,61,dilated
62,-4.787491742782046,62,dropped
63,-4.809470649500821,63,eyes
64,-4.952571493141495,64,fallen
65,-5.8127727583646065,65,compressed
66,-5.908082938168931,66,blinking
67,-5.908082938168931,67,pursy
68,-5.908082938168931,68,puckered
69,-6.313548046277095,69,deepened
70,-6.313548046277095,70,nasolabial
71,-6.364841340664645,71,blown
72,-6.9113850470327165,72,gritted
73,-6.9113850470327165,73,puffed
74,-7.00669522683704,74,right
75,-7.00669522683704,75,moving
76,-7.00669522683704,76,closed
77,-7.00669522683704,77,shut
78,-7.00669522683704,78,sideways
79,-7.00669522683704,79,neck
80,-7.112055742494867,80,clenched
81,-7.922985958711196,81,constricted
82,-7.922985958711196,82,up
83,-8.210668031162976,83,sucked
