,frequency,index,word
0,-9.311994025702681,0,<start>
1,0.0,1,is
2,-0.11271460108592457,2,","
3,-0.529364370781984,3,her
4,-1.189326002356275,4,his
5,-1.2348573871642285,5,brow
6,-1.3156767939059373,6,.
7,-1.3156767939059373,7,'s
8,-1.3156767939059373,8,a
9,-1.339528009728117,9,and
10,-1.4823636365524897,10,raised
11,-1.4903508994627006,11,lifted
12,-1.558370479142936,12,lip
13,-1.7211419020141014,13,woman
14,-1.8220231268678817,14,are
15,-1.8854449533053774,15,lips
16,-1.9531631273603285,16,lid
17,-2.0967540469725847,17,slightly
18,-2.1644347545132288,18,sensibly
19,-2.2045685515919775,19,reasonably
20,-2.2244203201447093,20,quite
21,-2.2244203201447093,21,kind
22,-2.2244203201447093,22,of
23,-2.2252560911921053,23,fairly
24,-2.2302854395971075,24,inner
25,-2.24042066149115,25,positively
26,-2.2558187416022717,26,cheek
27,-2.3942884158673774,27,chin
28,-2.4032392463874617,28,somewhat
29,-2.4142890825740464,29,corner
30,-2.4142890825740464,30,man
31,-2.4244414540380648,31,upper
32,-2.4629277430692254,32,lightly
33,-2.4661141504386332,33,outer
34,-2.5644074988733667,34,separated
35,-2.5929808713174225,35,parted
36,-2.603909941849613,36,stretched
37,-2.7244440108778862,37,down
38,-2.78990122753253,38,mouth
39,-2.908419827767868,39,narrowed
40,-2.966357664874087,40,lowered
41,-2.9698726069815313,41,tightened
42,-2.9840572419734874,42,nose
43,-2.9894287857753987,43,highly
44,-3.0428977419964207,44,significantly
45,-3.0678271250389466,45,strongly
46,-3.1678083915770365,46,spread
47,-3.348414682084236,47,pushed
48,-3.4039110875337517,48,pulled
49,-3.442697112568908,49,very
50,-3.480111548419166,50,insignificantly
51,-3.528168843372945,51,marginally
52,-3.608211551046481,52,nostril
53,-3.6352402234344003,53,wrinkled
54,-3.7210070451918256,54,creased
55,-3.790533107840436,55,dimpling
56,-4.013676659154646,56,jaw
57,-4.097058268093697,57,depressed
58,-4.135844293128853,58,pressed
59,-4.558403834596318,59,dilated
60,-4.575795577308187,60,inflated
61,-4.611513659910266,61,eyes
62,-4.706823839714591,62,lower
63,-4.846085907048098,63,fallen
64,-4.893153417906085,64,dropped
65,-5.399971020274537,65,blinking
66,-5.815486464236202,66,compressed
67,-5.910796644040526,67,pursy
68,-5.910796644040526,68,puckered
69,-6.316261752148692,69,deepened
70,-6.316261752148692,70,nasolabial
71,-6.478780681646467,71,puffed
72,-6.747044668241146,72,blown
73,-6.827087375914682,73,clenched
74,-7.009408932708637,74,right
75,-7.009408932708637,75,closed
76,-7.009408932708637,76,shut
77,-7.009408932708637,77,sideways
78,-7.009408932708637,78,head
79,-7.009408932708637,79,neck
80,-7.232552484022846,80,gritted
81,-7.366083876647369,81,moving
82,-7.366083876647369,82,sucked
83,-7.7025561132685825,83,constricted
84,-8.213381737034574,84,turned
85,-8.618846845142738,85,up
